RespondentID,SubmissionTime,Department,Location,Tenure,Manager,eNPS_0_10,Q01_Strategy,Q02_Leadership_Comms,Q03_Manager_Support,Q04_Feedback,Q05_Workload,Q06_Tools,Q07_Recognition,Q08_Collaboration,Q09_PsychSafety,Q10_CareerPath,Q11_Stay12Months,Q12_OverallEngagement,Open_WhatsWorking,Open_ImproveFirst
R0001,2025-11-03 09:00,Customer Support,Paris,1-3y,No,9,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Cross-team collaboration has improved recently.,
R0002,2025-11-03 09:00,Customer Support,Lyon,0-1y,Yes,7,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
R0003,2025-11-03 09:00,Operations,Paris,1-3y,No,10,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly disagree,Disagree,Neutral,,Faster decisions and less last-minute changes.
R0004,2025-11-03 09:00,Sales,Paris,0-1y,No,10,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Manager is approachable and supportive.,Clearer career paths and development opportunities.
R0005,2025-11-03 09:04,Customer Support,Remote,3-5y,No,10,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,,Faster decisions and less last-minute changes.
R0006,2025-11-03 09:04,Customer Support,Remote,1-3y,No,6,Neutral,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Good culture and supportive colleagues.,
R0007,2025-11-03 09:00,HR / People,Remote,5y+,No,7,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Disagree,Tools and systems mostly work well for my role.,Clearer career paths and development opportunities.
R0008,2025-11-03 09:01,Engineering,Paris,5y+,No,6,Agree,Strongly disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Good culture and supportive colleagues.,Reduce workload and improve staffing/planning.
R0009,2025-11-03 09:00,Engineering,Paris,5y+,No,8,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Cross-team collaboration has improved recently.,More clarity on priorities and decisions from leadership.
R0010,2025-11-03 09:00,Engineering,Paris,1-3y,No,10,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Autonomy and trust make it easier to get work done.,
R0011,2025-11-03 09:13,Sales,Lyon,1-3y,No,8,Neutral,Neutral,Agree,Disagree,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Tools and systems mostly work well for my role.,Faster decisions and less last-minute changes.
R0012,2025-11-03 09:09,Customer Support,Paris,3-5y,No,6,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Good culture and supportive colleagues.,
R0013,2025-11-03 09:06,Engineering,Paris,3-5y,No,10,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Good culture and supportive colleagues.,
R0014,2025-11-03 09:03,Sales,Paris,1-3y,No,10,Strongly agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Autonomy and trust make it easier to get work done.,
R0015,2025-11-03 09:13,Engineering,Lyon,3-5y,No,9,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Cross-team collaboration has improved recently.,Clearer career paths and development opportunities.
R0016,2025-11-03 09:00,Sales,Paris,5y+,No,4,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Disagree,Autonomy and trust make it easier to get work done.,
R0017,2025-11-03 09:00,Customer Support,Paris,3-5y,No,10,Neutral,Neutral,Strongly agree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Agree,Disagree,Neutral,Agree,Good culture and supportive colleagues.,Improve communication between teams.
R0018,2025-11-03 09:01,HR / People,Remote,5y+,No,10,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Neutral,Team collaboration is strong and people are helpful.,
R0019,2025-11-03 09:06,Finance,Remote,1-3y,Yes,10,Neutral,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral,,
R0020,2025-11-03 09:21,Engineering,Paris,0-1y,No,10,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Good culture and supportive colleagues.,Improve communication between teams.
R0021,2025-11-03 09:38,Engineering,Paris,3-5y,No,7,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Disagree,,
R0022,2025-11-03 09:02,Operations,Lyon,1-3y,No,10,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
R0023,2025-11-03 09:04,Engineering,Paris,1-3y,No,10,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Cross-team collaboration has improved recently.,Reduce workload and improve staffing/planning.
R0024,2025-11-03 09:21,Engineering,Paris,1-3y,No,10,Neutral,Neutral,Agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Manager is approachable and supportive.,Reduce workload and improve staffing/planning.
R0025,2025-11-03 09:01,Operations,Remote,1-3y,No,10,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Manager is approachable and supportive.,Reduce workload and improve staffing/planning.
R0026,2025-11-03 09:01,Sales,Paris,1-3y,No,9,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Cross-team collaboration has improved recently.,More recognition for strong performance.
R0027,2025-11-03 09:15,Operations,Remote,0-1y,No,9,Neutral,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Good culture and supportive colleagues.,Reduce workload and improve staffing/planning.
R0028,2025-11-03 09:01,Engineering,Remote,1-3y,No,8,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Team collaboration is strong and people are helpful.,Improve communication between teams.
R0029,2025-11-03 09:08,Finance,Remote,5y+,No,10,Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Manager is approachable and supportive.,More recognition for strong performance.
R0030,2025-11-03 09:07,HR / People,Paris,0-1y,No,10,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Agree,,
R0031,2025-11-03 09:02,Sales,Lyon,3-5y,No,10,Agree,Disagree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Manager is approachable and supportive.,Clearer career paths and development opportunities.
R0032,2025-11-03 09:05,Engineering,Paris,3-5y,Yes,10,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Team collaboration is strong and people are helpful.,Improve communication between teams.
R0033,2025-11-03 09:03,HR / People,Paris,0-1y,No,10,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,,More clarity on priorities and decisions from leadership.
R0034,2025-11-03 09:26,Operations,Paris,0-1y,No,10,Agree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Agree,Autonomy and trust make it easier to get work done.,Reduce workload and improve staffing/planning.
R0035,2025-11-03 09:14,Operations,Lyon,1-3y,No,10,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Tools and systems mostly work well for my role.,Reduce workload and improve staffing/planning.
